PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2-965	chr2	70553852	70554094	+	1	NA	promoter-TSS (ENST00000295400.11)	protein_coding-promoter-TSS (ENST00000295400.11)	0	ENST00000394241.3	ENSG00000163235	ENST00000295400			TGFA			protein_coding
chr10-665	chr10	59906466	59906708	+	1	NA	promoter-TSS (ENST00000263102.7)	protein_coding-promoter-TSS (ENST00000263102.7)	-31	ENST00000263102.7	ENSG00000108091	ENST00000491922			CCDC6			protein_coding
chr11-539	chr11	10808845	10809087	+	1	NA	promoter-TSS (ENST00000339995.11)	protein_coding-promoter-TSS (ENST00000339995.11)	-26	ENST00000524932.6	ENSG00000110321	ENST00000527526			EIF4G2			protein_coding
chr16-3180	chr16	88035305	88035547	+	1	NA	intron (ENST00000700483.1, intron 10 of 12)	protein_coding-intron (ENST00000286122.11, intron 10 of 13)	374	ENST00000466847.5	ENSG00000172530	ENST00000436970			BANP			protein_coding
chr10-2696	chr10	43455710	43455952	+	1	NA	intron (ENST00000456416.6, intron 1 of 2)	protein_coding-intron (ENST00000315429.12, intron 1 of 3)	-2234	ENST00000516723.1	ENSG00000252532	ENST00000516723			RNU7-193P			snRNA
chr2-2366	chr2	231464720	231464962	+	1	NA	promoter-TSS (ENST00000322723.9)	protein_coding-promoter-TSS (ENST00000322723.9)	-290	ENST00000678364.1	ENSG00000115053	ENST00000678364			NCL			protein_coding
chr15-3184	chr15	98775299	98775541	+	1	NA	intron (ENST00000557938.5, intron 1 of 3)	protein_coding-intron (ENST00000557938.5, intron 1 of 3)	-9006	ENST00000580728.1	ENSG00000264480	ENST00000580728			MIR4714			miRNA
chr11-482	chr11	69675186	69675428	+	1	NA	promoter-TSS (ENST00000279147.9)	protein_coding-promoter-TSS (ENST00000279147.9)	-2	ENST00000535542.5	ENSG00000149716	ENST00000536870			LTO1			protein_coding
chr12-1582	chr12	101727328	101727570	+	1	NA	TTS (ENST00000549872.5)	protein_coding-TTS (ENST00000549872.5)	1126	ENST00000546873.1	ENSG00000111666	ENST00000552215			CHPT1			protein_coding
chr8-466	chr8	40054680	40054922	+	1	NA	Intergenic	Intergenic	-49368	ENST00000524098.1	ENSG00000253381	ENST00000524098			ENSG00000253381			lncRNA
chr11-2646	chr11	65791836	65792078	+	1	NA	intron (ENST00000531907.1, intron 1 of 2)	protein_coding-intron (ENST00000335987.8, intron 1 of 3)	-1089	ENST00000532454.1	ENSG00000255120	ENST00000527453			OVOL1-AS1			lncRNA
chr12-141	chr12	116559437	116559679	+	1	NA	intron (ENST00000556529.4, intron 1 of 1)	protein_coding-intron (ENST00000556529.4, intron 1 of 1)	177	ENST00000556529.4	ENSG00000258102	ENST00000556529			MAP1LC3B2			protein_coding
chr2-96	chr2	47369829	47370071	+	1	NA	intron (ENST00000419334.1, intron 1 of 2)	protein_coding-intron (ENST00000263735.9, intron 1 of 8)	455	ENST00000419334.1	ENSG00000119888	ENST00000490733			EPCAM			protein_coding
chr6-3641	chr6	13725531	13725773	+	1	NA	Intergenic	Intergenic	-13817	ENST00000011619.6	ENSG00000010017	ENST00000469916			RANBP9			protein_coding
chr19-328	chr19	12440891	12441133	+	1	NA	promoter-TSS (ENST00000301547.10)	protein_coding-promoter-TSS (ENST00000301547.10)	9	ENST00000301547.10	ENSG00000180855	ENST00000436821			ZNF443			protein_coding
chr17-3103	chr17	19377759	19378001	+	1	NA	promoter-TSS (ENST00000395602.8)	protein_coding-promoter-TSS (ENST00000395602.8)	10	ENST00000487415.6	ENSG00000108641	ENST00000574508			B9D1			protein_coding
chr14-621	chr14	45253396	45253638	+	1	NA	promoter-TSS (ENST00000310806.9)	protein_coding-promoter-TSS (ENST00000310806.9)	23	ENST00000494512.1	ENSG00000129534	ENST00000454990			MIS18BP1			protein_coding
chr7-5037	chr7	6590371	6590613	+	1	NA	intron (ENST00000359073.9, intron 1 of 6)	protein_coding-intron (ENST00000344417.10, intron 1 of 5)	348	ENST00000359073.9	ENSG00000146576	ENST00000440409			INTS15			protein_coding
chr2-6249	chr2	55084208	55084450	+	1	NA	intron (ENST00000461004.1, intron 1 of 3)	protein_coding-intron (ENST00000427710.5, intron 1 of 3)	28238	ENST00000461004.1	ENSG00000115310	ENST00000485749			RTN4			protein_coding
chr16-770	chr16	70289232	70289474	+	1	NA	promoter-TSS (ENST00000563392.5)	protein_coding-promoter-TSS (ENST00000563392.5)	-36	ENST00000675643.1	ENSG00000090861	ENST00000676212			AARS1			protein_coding
chr4-106	chr4	681758	682000	+	1	NA	TTS (ENST00000322224.9)	protein_coding-TTS (ENST00000322224.9)	1133	ENST00000503612.1	ENSG00000215375	ENST00000506838			MYL5			protein_coding
chr16-2034	chr16	2968717	2968959	+	1	NA	promoter-TSS (ENST00000293978.12)	protein_coding-promoter-TSS (ENST00000293978.12)	266	ENST00000572832.1	ENSG00000127564	ENST00000572658			PKMYT1			protein_coding
chr19-27	chr19	34677538	34677780	+	1	NA	promoter-TSS (ENST00000423823.6)	protein_coding-promoter-TSS (ENST00000423823.6)	-3	ENST00000457781.6	ENSG00000089335	ENST00000512455			ZNF302			protein_coding
chr20-5511	chr20	1325207	1325449	+	1	NA	promoter-TSS (ENST00000446423.2)	lncRNA-promoter-TSS (ENST00000446423.2)	-72	ENST00000665859.2	ENSG00000234684	ENST00000609285			SDCBP2-AS1			lncRNA
chr19-82	chr19	1166801	1167043	+	1	NA	intron (ENST00000587024.5, intron 1 of 31)	protein_coding-intron (ENST00000361757.8, intron 1 of 31)	2224	ENST00000587655.2	ENSG00000064932	ENST00000587024			SBNO2			protein_coding
chr6-27	chr6	152302068	152302310	+	1	NA	promoter-TSS (ENST00000489156.1)	protein_coding-promoter-TSS (ENST00000489156.1)	-53	ENST00000537033.1	ENSG00000131018	ENST00000536990			SYNE1			protein_coding
chr1-2014	chr1	109783501	109783743	+	1	NA	Intergenic	Intergenic	-19595	ENST00000369805.7	ENSG00000198758	ENST00000472325			EPS8L3			protein_coding
chr11-2279	chr11	130003659	130003901	+	1	NA	promoter-TSS (ENST00000358825.9)	protein_coding-promoter-TSS (ENST00000358825.9)	842	ENST00000530583.1	ENSG00000233220	ENST00000530583			PRDM10-DT			lncRNA
chr8-135	chr8	108443410	108443652	+	1	NA	promoter-TSS (ENST00000220853.8)	protein_coding-promoter-TSS (ENST00000220853.8)	-35	ENST00000678334.1	ENSG00000104408	ENST00000522887			EIF3E			protein_coding
chr16-269	chr16	2714625	2714867	+	1	NA	TTS (ENST00000566492.1)	protein_coding-TTS (ENST00000566492.1)	819	ENST00000543965.5	ENSG00000172382	ENST00000562249			PRSS27			protein_coding
chr8-108	chr8	98426448	98426690	+	1	NA	promoter-TSS (ENST00000287042.5)	protein_coding-promoter-TSS (ENST00000287042.5)	-389	ENST00000287042.5	ENSG00000156486	ENST00000287042			KCNS2			protein_coding
chr2-18	chr2	240565919	240566161	+	1	NA	TTS (ENST00000405954.2)	protein_coding-TTS (ENST00000405954.2)	236	ENST00000451363.5	ENSG00000142327	ENST00000270357			RNPEPL1			protein_coding
chr2-2024	chr2	66389818	66390060	+	1	NA	intron (ENST00000428647.1, intron 2 of 2)	lncRNA-intron (ENST00000428647.1, intron 2 of 2)	6633	ENST00000428647.1	ENSG00000232164	ENST00000428647			LINC01873			lncRNA
chr2-676	chr2	218406488	218406730	+	1	NA	TTS (ENST00000273062.7)	protein_coding-TTS (ENST00000273062.7)	3963	ENST00000362251.4	ENSG00000199121	ENST00000362251			MIR26B			miRNA
chr8-877	chr8	25408178	25408420	+	1	NA	intron (ENST00000467709.6, intron 33 of 35)	protein_coding-intron (ENST00000276440.12, intron 49 of 51)	-1133	ENST00000521405.1	ENSG00000147459	ENST00000276440			DOCK5			protein_coding
chr5-13	chr5	1555502	1555744	+	1	NA	Intergenic	Intergenic	-3913	ENST00000503113.1	ENSG00000251532	ENST00000503113			ENSG00000251532			lncRNA
chr9-73	chr9	133030789	133031031	+	1	NA	promoter-TSS (ENST00000342018.12)	protein_coding-promoter-TSS (ENST00000342018.12)	-87	ENST00000372097.10	ENSG00000148308	ENST00000485692			GTF3C5			protein_coding
chrX-13	chrX	9463108	9463350	+	1	NA	promoter-TSS (ENST00000380961.5)	protein_coding-promoter-TSS (ENST00000380961.5)	-91	ENST00000407597.7	ENSG00000101849	ENST00000683056			TBL1X			protein_coding
chr14-2546	chr14	104504159	104504401	+	1	NA	intron (ENST00000415614.6, intron 3 of 3)	protein_coding-intron (ENST00000415614.6, intron 3 of 3)	53301	ENST00000451006.1	ENSG00000213159	ENST00000451006			CEND1P1			processed_pseudogene
chr3-6517	chr3	48241013	48241255	+	1	NA	promoter-TSS (ENST00000354698.8)	protein_coding-promoter-TSS (ENST00000354698.8)	5	ENST00000448461.5	ENSG00000164048	ENST00000440261			ZNF589			protein_coding
chr15-356	chr15	82680497	82680739	+	1	NA	promoter-TSS (ENST00000660624.1)	protein_coding-promoter-TSS (ENST00000660624.1)	135	ENST00000661532.1	ENSG00000103723	ENST00000666973			AP3B2			protein_coding
chr14-469	chr14	104752914	104753156	+	1	NA	promoter-TSS (ENST00000329967.11)	protein_coding-promoter-TSS (ENST00000329967.11)	-112	ENST00000329967.11	ENSG00000184990	ENST00000329967			SIVA1			protein_coding
chr14-129	chr14	64503339	64503581	+	1	NA	promoter-TSS (ENST00000553583.1)	protein_coding-promoter-TSS (ENST00000553583.1)	-252	ENST00000556818.1	ENSG00000126804	ENST00000556965			ZBTB1			protein_coding
chr19-315	chr19	3762628	3762870	+	1	NA	promoter-TSS (ENST00000330133.5)	protein_coding-promoter-TSS (ENST00000330133.5)	44	ENST00000589174.1	ENSG00000183617	ENST00000589174			MRPL54			protein_coding
chr8-2932	chr8	138260075	138260317	+	1	NA	intron (ENST00000482951.6, intron 5 of 20)	protein_coding-intron (ENST00000160713.8, intron 4 of 5)	-107792	ENST00000467365.2	ENSG00000147724	ENST00000395295			FAM135B			protein_coding
chr9-3155	chr9	19127430	19127672	+	1	NA	promoter-TSS (ENST00000276914.7)	protein_coding-promoter-TSS (ENST00000276914.7)	-59	ENST00000276914.7	ENSG00000147872	ENST00000380465			PLIN2			protein_coding
chr3-5177	chr3	80000064	80000306	+	1	NA	Intergenic	Intergenic	-42043	ENST00000490557.1	ENSG00000243877	ENST00000490557			HMGB1P38			processed_pseudogene
chr8-13	chr8	144508832	144509074	+	1	NA	promoter-TSS (ENST00000301327.5)	protein_coding-promoter-TSS (ENST00000301327.5)	-117	ENST00000301327.5	ENSG00000167700	ENST00000526749			MFSD3			protein_coding
chr9-3208	chr9	35729789	35730031	+	1	NA	intron (ENST00000706939.1, intron 1 of 57)	protein_coding-intron (ENST00000314888.10, intron 1 of 56)	2194	ENST00000378192.2	ENSG00000137076	ENST00000464379			TLN1			protein_coding
chr17-3222	chr17	49552167	49552409	+	1	NA	intron (ENST00000647923.1, intron 1 of 2)	lncRNA-intron (ENST00000503624.1, intron 1 of 1)	15601	ENST00000647923.1	ENSG00000250310	ENST00000647923			ENSG00000250310			lncRNA
chr17-1772	chr17	7835293	7835535	+	1	NA	TTS (ENST00000684806.2)	lncRNA-TTS (ENST00000684806.2)	919	ENST00000684806.2	ENSG00000288929	ENST00000684806			ENSG00000288929			lncRNA
chr6-3066	chr6	55827846	55828088	+	1	NA	intron (ENST00000370830.4, intron 1 of 6)	protein_coding-intron (ENST00000370830.4, intron 1 of 6)	47623	ENST00000370830.4	ENSG00000112175	ENST00000370830			BMP5			protein_coding
chr8-3733	chr8	121150976	121151218	+	1	NA	Intergenic	Intergenic	-37178	ENST00000604710.1	ENSG00000271219	ENST00000604710			ENSG00000271219			processed_pseudogene
chr4-110	chr4	3338450	3338692	+	1	NA	intron (ENST00000514268.5, intron 1 of 6)	protein_coding-intron (ENST00000336727.8, intron 2 of 17)	-3844	ENST00000513784.7	ENSG00000159788	ENST00000382788			RGS12			protein_coding
chr2-185	chr2	61017058	61017300	+	1	NA	promoter-TSS (ENST00000295030.6)	protein_coding-promoter-TSS (ENST00000295030.6)	14	ENST00000398658.2	ENSG00000162927	ENST00000398658			PUS10			protein_coding
chr16-195	chr16	87945777	87946019	+	1	NA	promoter-TSS (ENST00000565496.1)	processed_pseudogene-promoter-TSS (ENST00000565496.1)	-696	ENST00000565496.1	ENSG00000260443	ENST00000565496			ENSG00000260443			processed_pseudogene
chr8-36	chr8	102238691	102238933	+	1	NA	promoter-TSS (ENST00000395912.6)	protein_coding-promoter-TSS (ENST00000395912.6)	-15	ENST00000517517.1	ENSG00000048392	ENST00000251810			RRM2B			protein_coding
chr20-546	chr20	34083141	34083383	+	1	NA	exon (ENST00000246194.8, exon 10 of 10)	protein_coding-exon (ENST00000246194.8, exon 10 of 10)	6049	ENST00000489384.1	ENSG00000125970	ENST00000413297			RALY			protein_coding
chr9-1461	chr9	34675122	34675364	+	1	NA	intron (ENST00000702085.1, intron 1 of 1)	lncRNA-intron (ENST00000434627.1, intron 1 of 2)	-9131	ENST00000423809.5	ENSG00000187186	ENST00000544078			ENSG00000187186			protein_coding
chr13-329	chr13	108218144	108218386	+	1	NA	promoter-TSS (ENST00000375898.4)	protein_coding-promoter-TSS (ENST00000375898.4)	36	ENST00000688396.1	ENSG00000174405	ENST00000686095			LIG4			protein_coding
chr8-53	chr8	128176843	128177085	+	1	NA	intron (ENST00000651587.1, intron 10 of 10)	lncRNA-intron (ENST00000650846.1, intron 3 of 3)	26848	ENST00000408334.1	ENSG00000221261	ENST00000408334			MIR1208			miRNA
chr2-3604	chr2	94755886	94756128	+	1	NA	exon (ENST00000700696.1, exon 2 of 3)	lncRNA-exon (ENST00000700696.1, exon 2 of 3)	3994	ENST00000700696.1	ENSG00000289811	ENST00000700703			FAM95A			lncRNA
chr9-3663	chr9	121606740	121606982	+	1	NA	intron (ENST00000489314.1, intron 1 of 1)	protein_coding-intron (ENST00000259371.7, intron 1 of 16)	8593	ENST00000489314.1	ENSG00000136848	ENST00000436835			DAB2IP			protein_coding
chr7-842	chr7	46886626	46886868	+	1	NA	Intergenic	Intergenic	14185	ENST00000424359.1	ENSG00000232072	ENST00000433337			ENSG00000232072			lncRNA
chr1-258	chr1	53238295	53238537	+	1	NA	promoter-TSS (ENST00000371466.4)	protein_coding-promoter-TSS (ENST00000371466.4)	83	ENST00000371466.4	ENSG00000162385	ENST00000462941			MAGOH			protein_coding
chr19-209	chr19	11344416	11344658	+	1	NA	promoter-TSS (ENST00000587100.1)	protein_coding-promoter-TSS (ENST00000587100.1)	-147	ENST00000589186.5	ENSG00000183401	ENST00000588592			CCDC159			protein_coding
chr7-1169	chr7	101217458	101217700	+	1	NA	promoter-TSS (ENST00000223127.8)	protein_coding-promoter-TSS (ENST00000223127.8)	2	ENST00000223127.8	ENSG00000106397	ENST00000487563			PLOD3			protein_coding
chrX-596	chrX	153609872	153610114	+	1	NA	promoter-TSS (ENST00000446370.1)	lncRNA-promoter-TSS (ENST00000446370.1)	-701	ENST00000446370.1	ENSG00000293160	ENST00000642692			ENSG00000293160			lncRNA
chr17-5721	chr17	9133195	9133437	+	1	NA	intron (ENST00000173229.7, intron 2 of 6)	protein_coding-intron (ENST00000173229.7, intron 2 of 6)	-29619	ENST00000436734.1	ENSG00000065320	ENST00000436734			NTN1			protein_coding
chr7-2617	chr7	132251393	132251635	+	1	NA	intron (ENST00000359827.7, intron 4 of 31)	protein_coding-intron (ENST00000321063.9, intron 4 of 31)	-12638	ENST00000445459.2	ENSG00000225144	ENST00000445459			ENSG00000225144			lncRNA
chr1-3471	chr1	116268201	116268443	+	1	NA	Intergenic	Intergenic	-10284	ENST00000408113.2	ENSG00000221040	ENST00000408113			U3			snoRNA
chr12-4733	chr12	107685668	107685910	+	1	NA	promoter-TSS (ENST00000412830.8)	protein_coding-promoter-TSS (ENST00000412830.8)	-10	ENST00000412830.8	ENSG00000136045	ENST00000412830			PWP1			protein_coding
chr9-4834	chr9	113352075	113352317	+	1	NA	intron (ENST00000462085.1, intron 1 of 4)	protein_coding-intron (ENST00000374183.5, intron 1 of 5)	2654	ENST00000462085.1	ENSG00000119411	ENST00000374183			BSPRY			protein_coding
chr22-19	chr22	39399721	39399963	+	1	NA	promoter-TSS (ENST00000216160.11)	protein_coding-promoter-TSS (ENST00000216160.11)	58	ENST00000331454.3	ENSG00000100324	ENST00000216160			TAB1			protein_coding
chr19-484	chr19	4800875	4801117	+	1	NA	exon (ENST00000269856.5, exon 1 of 1)	protein_coding-exon (ENST00000269856.5, exon 1 of 1)	-5437	ENST00000596170.1	ENSG00000269604	ENST00000601192			ENSG00000269604			lncRNA
chr2-41	chr2	132416574	132416816	+	1	NA	promoter-TSS (ENST00000329321.4)	protein_coding-promoter-TSS (ENST00000329321.4)	-110	ENST00000329321.4	ENSG00000183840	ENST00000470071			GPR39			protein_coding
chr12-116	chr12	56629517	56629759	+	1	NA	intron (ENST00000551812.5, intron 1 of 28)	protein_coding-intron (ENST00000379441.7, intron 1 of 29)	659	ENST00000546695.5	ENSG00000076108	ENST00000549506			BAZ2A			protein_coding
chr16-2060	chr16	4316858	4317100	+	1	NA	intron (ENST00000433375.2, intron 1 of 6)	protein_coding-intron (ENST00000262366.7, intron 1 of 7)	912	ENST00000433375.2	ENSG00000126603	ENST00000262366			GLIS2			protein_coding
chr10-180	chr10	98314672	98314914	+	1	NA	Intergenic	Intergenic	-46599	ENST00000260702.4	ENSG00000138131	ENST00000260702			LOXL4			protein_coding
chr14-3640	chr14	39432849	39433091	+	1	NA	promoter-TSS (ENST00000298097.8)	protein_coding-promoter-TSS (ENST00000298097.8)	309	ENST00000656325.1	ENSG00000258526	ENST00000651829			ENSG00000258526			lncRNA
chr12-193	chr12	55927644	55927886	+	1	NA	promoter-TSS (ENST00000302533.6)	protein_coding-promoter-TSS (ENST00000302533.6)	-9	ENST00000549939.1	ENSG00000170473	ENST00000408946			PYM1			protein_coding
chr1-2143	chr1	171485336	171485578	+	1	NA	promoter-TSS (ENST00000338920.8)	protein_coding-promoter-TSS (ENST00000338920.8)	-73	ENST00000647382.2	ENSG00000117523	ENST00000467601			PRRC2C			protein_coding
chrX-508	chrX	49191383	49191625	+	1	NA	TTS (ENST00000691258.1)	protein_coding-TTS (ENST00000691258.1)	3110	ENST00000692723.1	ENSG00000102003	ENST00000469389			SYP			protein_coding
chr5-8	chr5	139638368	139638610	+	1	NA	Intergenic	Intergenic	6513	ENST00000606683.1	ENSG00000272255	ENST00000606683			ENSG00000272255			lncRNA
chr5-3992	chr5	30502300	30502542	+	1	NA	Intergenic	Intergenic	-136737	ENST00000502347.1	ENSG00000250118	ENST00000502347			ENSG00000250118			processed_pseudogene
chr2-2031	chr2	70086851	70087093	+	1	NA	promoter-TSS (ENST00000303577.7)	protein_coding-promoter-TSS (ENST00000303577.7)	-7	ENST00000437019.2	ENSG00000179818	ENST00000686800			PCBP1-AS1			lncRNA
chr2-167	chr2	96888588	96888830	+	1	NA	intron (ENST00000494172.1, intron 2 of 3)	protein_coding-intron (ENST00000393526.6, intron 2 of 4)	6433	ENST00000470789.5	ENSG00000168754	ENST00000478671			FAM178B			protein_coding
chr9-128	chr9	132355028	132355270	+	1	NA	promoter-TSS (ENST00000224140.6)	protein_coding-promoter-TSS (ENST00000224140.6)	-163	ENST00000224140.6	ENSG00000107290	ENST00000224140			SETX			protein_coding
chr17-11	chr17	59619710	59619952	+	1	NA	promoter-TSS (ENST00000269122.8)	protein_coding-promoter-TSS (ENST00000269122.8)	-27	ENST00000393043.5	ENSG00000141367	ENST00000579456			CLTC			protein_coding
chr2-22	chr2	218980036	218980278	+	1	NA	TTS (ENST00000295727.2)	protein_coding-TTS (ENST00000295727.2)	2332	ENST00000628185.1	ENSG00000236445	ENST00000627043			LINC00608			lncRNA
chrX-8	chrX	71824954	71825196	+	1	NA	Intergenic	Intergenic	-23700	ENST00000424182.1	ENSG00000229030	ENST00000424182			ENSG00000229030			processed_pseudogene
chr2-2170	chr2	128291616	128291858	+	1	NA	intron (ENST00000494089.1, intron 1 of 1)	protein_coding-intron (ENST00000259241.7, intron 1 of 1)	-1541	ENST00000463963.1	ENSG00000136720	ENST00000494089			HS6ST1			protein_coding
chr2-337	chr2	137202372	137202614	+	1	NA	intron (ENST00000409968.6, intron 7 of 27)	protein_coding-intron (ENST00000409968.6, intron 7 of 27)	46533	ENST00000485379.1	ENSG00000144229	ENST00000472720			THSD7B			protein_coding
chr7-530	chr7	23299321	23299563	+	1	NA	exon (ENST00000287543.4, exon 1 of 3)	protein_coding-exon (ENST00000287543.4, exon 1 of 3)	101	ENST00000481564.1	ENSG00000156928	ENST00000466681			MALSU1			protein_coding
chr20-448	chr20	32475367	32475609	+	1	NA	intron (ENST00000621426.7, intron 4 of 10)	protein_coding-intron (ENST00000326071.8, intron 1 of 2)	7983	ENST00000359676.9	ENSG00000197183	ENST00000375678			NOL4L			protein_coding
chr3-242	chr3	152835425	152835667	+	1	NA	exon (ENST00000305097.6, exon 1 of 1)	protein_coding-exon (ENST00000305097.6, exon 1 of 1)	415	ENST00000305097.6	ENSG00000169860	ENST00000305097			P2RY1			protein_coding
chr7-388	chr7	108569900	108570142	+	1	NA	promoter-TSS (ENST00000313516.5)	protein_coding-promoter-TSS (ENST00000313516.5)	147	ENST00000249356.4	ENSG00000128590	ENST00000491582			DNAJB9			protein_coding
chr10-841	chr10	43648753	43648995	+	1	NA	promoter-TSS (ENST00000374433.7)	protein_coding-promoter-TSS (ENST00000374433.7)	7	ENST00000374433.7	ENSG00000169740	ENST00000395797			ZNF32			protein_coding
chr12-748	chr12	94459867	94460109	+	1	NA	promoter-TSS (ENST00000339839.9)	protein_coding-promoter-TSS (ENST00000339839.9)	0	ENST00000546527.1	ENSG00000173588	ENST00000552632			CEP83			protein_coding
chr15-597	chr15	50854778	50855020	+	1	NA	intron (ENST00000613161.4, intron 3 of 4)	lncRNA-intron (ENST00000613161.4, intron 3 of 4)	6032	ENST00000619889.1	ENSG00000273674	ENST00000619889			ENSG00000273674			lncRNA
chr17-265	chr17	49887249	49887491	+	1	NA	promoter-TSS (ENST00000515692.1)	lncRNA-promoter-TSS (ENST00000515692.1)	-228	ENST00000515692.1	ENSG00000248954	ENST00000515692			ENSG00000248954			lncRNA
chr9-4680	chr9	98791301	98791543	+	1	NA	promoter-TSS (ENST00000466120.1)	protein_coding-promoter-TSS (ENST00000466120.1)	-926	ENST00000466120.1	ENSG00000165138	ENST00000375019			ANKS6			protein_coding
chr15-83	chr15	56918501	56918743	+	1	NA	promoter-TSS (ENST00000267811.9)	protein_coding-promoter-TSS (ENST00000267811.9)	-1	ENST00000438423.6	ENSG00000140262	ENST00000557947			TCF12			protein_coding
chr20-2109	chr20	25103959	25104201	+	1	NA	Intergenic	Intergenic	4975	ENST00000256654.8	ENSG00000225069	ENST00000256654			ENSG00000225069			processed_pseudogene
chr7-9	chr7	44490646	44490888	+	1	NA	promoter-TSS (ENST00000355451.8)	protein_coding-promoter-TSS (ENST00000355451.8)	-109	ENST00000355451.8	ENSG00000015676	ENST00000475952			NUDCD3			protein_coding
chr15-560	chr15	98873676	98873918	+	1	NA	promoter-TSS (ENST00000557873.5)	protein_coding-promoter-TSS (ENST00000557873.5)	78	ENST00000557873.5	ENSG00000140443	ENST00000558751			IGF1R			protein_coding
chr11-1688	chr11	117626105	117626347	+	1	NA	intron (ENST00000651296.2, intron 3 of 32)	protein_coding-intron (ENST00000321322.6, intron 3 of 32)	-14209	ENST00000624964.1	ENSG00000279586	ENST00000624964			ENSG00000279586			TEC
chr16-1823	chr16	67833819	67834061	+	1	NA	promoter-TSS (ENST00000436104.6)	protein_coding-promoter-TSS (ENST00000436104.6)	-2	ENST00000562462.5	ENSG00000102901	ENST00000564144			CENPT			protein_coding
chr13-107	chr13	51935854	51936096	+	1	NA	intron (ENST00000674147.2, intron 15 of 16)	protein_coding-intron (ENST00000242839.10, intron 19 of 20)	-1454	ENST00000634519.1	ENSG00000123191	ENST00000674078			ATP7B			protein_coding
chr5-53	chr5	72848050	72848292	+	1	NA	promoter-TSS (ENST00000506351.6)	protein_coding-promoter-TSS (ENST00000506351.6)	1	ENST00000513944.5	ENSG00000083312	ENST00000506528			TNPO1			protein_coding
chr1-206	chr1	193059229	193059471	+	1	NA	promoter-TSS (ENST00000367443.5)	protein_coding-promoter-TSS (ENST00000367443.5)	-1	ENST00000367451.8	ENSG00000116750	ENST00000443327			UCHL5			protein_coding
chr11-365	chr11	62553555	62553797	+	1	NA	intron (ENST00000530285.5, intron 1 of 4)	protein_coding-intron (ENST00000530285.5, intron 1 of 4)	2559	ENST00000530285.5	ENSG00000124942	ENST00000530124			AHNAK			protein_coding
chr6-4687	chr6	151068133	151068375	+	1	NA	intron (ENST00000618312.4, intron 26 of 27)	protein_coding-intron (ENST00000367321.8, intron 26 of 27)	-12197	ENST00000445833.1	ENSG00000232290	ENST00000445833			ENSG00000232290			lncRNA
chr1-298	chr1	42463162	42463404	+	1	NA	promoter-TSS (ENST00000468651.2)	protein_coding-promoter-TSS (ENST00000468651.2)	-3	ENST00000655164.1	ENSG00000186409	ENST00000668036			CCDC30			protein_coding
chr2-119	chr2	11466145	11466387	+	1	NA	promoter-TSS (ENST00000307236.8)	protein_coding-promoter-TSS (ENST00000307236.8)	-89	ENST00000546212.2	ENSG00000169016	ENST00000307236			E2F6			protein_coding
chr4-1439	chr4	81021690	81021932	+	1	NA	Intergenic	Intergenic	-8897	ENST00000282701.4	ENSG00000152785	ENST00000282701			BMP3			protein_coding
chr3-802	chr3	14885313	14885555	+	1	NA	intron (ENST00000468662.5, intron 1 of 16)	protein_coding-intron (ENST00000285046.10, intron 4 of 19)	3129	ENST00000468662.5	ENSG00000154783	ENST00000457774			FGD5			protein_coding
chr12-129	chr12	122500944	122501186	+	1	NA	promoter-TSS (ENST00000536663.5)	protein_coding-promoter-TSS (ENST00000536663.5)	-122	ENST00000619123.1	ENSG00000275265	ENST00000619123			ENSG00000275265			lncRNA
chr17-4464	chr17	82030563	82030805	+	1	NA	promoter-TSS (ENST00000306897.9)	protein_coding-promoter-TSS (ENST00000306897.9)	-994	ENST00000306897.9	ENSG00000169750	ENST00000306897			RAC3			protein_coding
chr8-8	chr8	144428461	144428703	+	1	NA	promoter-TSS (ENST00000292510.6)	protein_coding-promoter-TSS (ENST00000292510.6)	-19	ENST00000377348.6	ENSG00000160948	ENST00000531032			VPS28			protein_coding
chr3-4706	chr3	23019972	23020214	+	1	NA	Intergenic	Intergenic	30270	ENST00000419001.1	ENSG00000231915	ENST00000419001			SALL4P5			unprocessed_pseudogene
chr16-742	chr16	30060857	30061099	+	1	NA	intron (ENST00000395248.6, intron 5 of 15)	protein_coding-intron (ENST00000338110.11, intron 4 of 13)	-3186	ENST00000562302.1	ENSG00000149925	ENST00000565355			ALDOA			protein_coding
chr11-48	chr11	18588610	18588852	+	1	NA	promoter-TSS (ENST00000300038.7)	protein_coding-promoter-TSS (ENST00000300038.7)	3	ENST00000396197.8	ENSG00000151116	ENST00000490736			UEVLD			protein_coding
chr14-4340	chr14	95336591	95336833	+	1	NA	TTS (ENST00000671353.1)	lncRNA-TTS (ENST00000671353.1)	4334	ENST00000671353.1	ENSG00000258630	ENST00000554522			LINC02292			lncRNA
chr1-8676	chr1	201513012	201513254	+	1	NA	intron (ENST00000454651.2, intron 1 of 1)	lncRNA-intron (ENST00000454651.2, intron 1 of 1)	-3677	ENST00000367306.5	ENSG00000159176	ENST00000526256			CSRP1			protein_coding
